Date,open,high,low,Close,adjusted_close,volume
13-04-2018,1575,1620.4,1566.05,1576.65,1553.8838,8179118
12-04-2018,1505,1575,1503.97,1569.62,1546.9553,6114360
11-04-2018,1475.3,1512.5,1472.8,1507.0699,1485.3084,3124416
10-04-2018,1462.85,1478.62,1462.85,1468.8,1447.5911,1184532
09-04-2018,1469.85,1481.75,1457.5,1461.95,1440.84,1235866
06-04-2018,1477,1480,1463.28,1475.15,1453.8494,1129018
05-04-2018,1463.28,1481.88,1460.1801,1478.97,1457.6141,1809424
04-04-2018,1464.72,1467,1446,1455.45,1434.4337,2841820
03-04-2018,1446.05,1464.95,1446.05,1455.62,1434.6013,1937290
02-04-2018,1420,1457,1420,1454.8199,1433.8129,1662988
28-03-2018,1417.95,1437.5,1412.5,1424.5699,1403.9995,6865654
27-03-2018,1412.5,1431.5,1411.53,1423.85,1403.2902,2494574
26-03-2018,1409.5,1413.7,1390.78,1408.5,1388.1617,2964210
23-03-2018,1401,1417.05,1399.03,1409.0699,1388.7235,3654122
22-03-2018,1429.97,1437.97,1411.28,1415.6801,1395.238,2326094
21-03-2018,1436.25,1442.15,1425,1428.38,1407.7546,3907678
20-03-2018,1410,1436.6,1409.5,1432.4301,1411.7463,4024984
19-03-2018,1414.5,1424,1410,1415.5,1395.0607,3489940
16-03-2018,1434.4,1436,1402.5,1412.85,1392.449,7197482
15-03-2018,1447.5,1451.28,1427.8,1434.85,1414.1312,2348906
14-03-2018,1446.47,1461.53,1437.53,1443.45,1422.6072,3668668
13-03-2018,1462.45,1469.85,1436,1443.4,1422.5577,88067154
12-03-2018,1521.5,1541.95,1517.75,1526.0699,1504.0341,2091340
09-03-2018,1502.5,1531.6,1488.6,1517.05,1495.1445,1872436
08-03-2018,1527.45,1527.45,1493.75,1501.97,1480.282,1951826
07-03-2018,1535,1544.5,1509.25,1513.72,1491.8623,1917772
06-03-2018,1561,1563.5,1515.0699,1521.4,1499.4316,1906764
05-03-2018,1524.5,1556.8199,1516.47,1552.9301,1530.5062,2858168
01-03-2018,1524.5,1530.6,1510,1518.85,1496.9182,1718124
28-02-2018,1517.5,1531.97,1510.72,1517.53,1495.6174,2706864
27-02-2018,1520.5,1539.28,1516,1521.1801,1499.2147,1717800
26-02-2018,1537.5,1544.97,1510.6,1515.85,1493.9617,1363882
23-02-2018,1525,1544.5,1496.05,1537.9,1515.6934,3362500
22-02-2018,1526,1539.5,1511.25,1525.1,1503.0781,3463010
21-02-2018,1487,1531.3,1480.03,1521.15,1499.1852,3089228
20-02-2018,1464,1492.53,1463.95,1472.38,1451.1194,1889068
19-02-2018,1472.5,1476.65,1447.6,1461.8,1440.6921,1568224
16-02-2018,1461.5,1499.8,1461.5,1466.53,1445.3539,2515756
15-02-2018,1465.97,1471.5,1452.55,1462.9301,1441.8059,2465236
14-02-2018,1485,1487.22,1446.25,1455.9,1434.8773,2847532
12-02-2018,1489.15,1511.6801,1477.78,1483.65,1462.2267,1974562
09-02-2018,1475,1497,1448.3199,1485.85,1464.3948,2102458
08-02-2018,1489.88,1513.8,1479.5,1487.1,1465.6268,2755004
07-02-2018,1513.5,1515.5,1473.72,1477.53,1456.1951,2180324
06-02-2018,1505,1538.5699,1492.5,1498.62,1476.9805,2657306
05-02-2018,1555,1594,1538.4301,1551.6,1529.1954,2757742
02-02-2018,1560,1595,1551.72,1576.8199,1554.0513,2456490
01-02-2018,1562,1595,1544.4,1569.3,1546.64,2400630
31-01-2018,1568.5,1575,1549.3,1556.1801,1533.7094,3043214
30-01-2018,1590,1601.9,1571.85,1576.4301,1553.6671,1574758
29-01-2018,1565.7,1612.5,1561,1599.4301,1576.335,3141060
25-01-2018,1587.5,1589.9,1540.5,1560.53,1537.9966,3833844
24-01-2018,1545,1629.53,1541.3199,1587.3,1564.38,5621538
23-01-2018,1557.47,1571.1801,1545.03,1551,1528.604,3239610
22-01-2018,1480.5,1567.35,1461,1558.2,1535.7002,4367110
19-01-2018,1465.28,1491,1451.8199,1479.65,1451.3855,1820000
18-01-2018,1448.5,1466.5,1434.03,1459.1,1431.2279,2209478
17-01-2018,1435,1462.5,1431.0699,1444.47,1416.8774,4280806
16-01-2018,1378,1430.8199,1375.28,1425.4301,1398.2012,4267752
15-01-2018,1388.5699,1404,1367.53,1373.05,1346.8219,1457214
12-01-2018,1402.5,1402.5,1370.28,1388.1801,1361.6628,3360314
11-01-2018,1405,1410.95,1391.1,1395.25,1368.5977,2520744
10-01-2018,1355.5,1408,1347.3199,1403.3,1376.4939,3365850
09-01-2018,1357.5,1360.5,1338.28,1354.5,1328.6261,2149396
08-01-2018,1350,1363.4301,1340.9301,1357.2,1331.2745,1242220
05-01-2018,1325,1349.75,1325,1344.6,1318.9153,1153706
04-01-2018,1325,1331,1320,1328.55,1303.1719,913082
03-01-2018,1316,1334.5,1315.6,1319.3199,1294.118,1257120
02-01-2018,1330,1334.8,1310.1,1315.6,1290.4691,1920290
01-01-2018,1341.15,1347.4,1317.5,1322.8,1297.5317,1351760
29-12-2017,1311.55,1354.45,1309.28,1350.6,1324.8005,2609542
28-12-2017,1304.4,1326.75,1302.8199,1313.47,1288.3799,2605088
27-12-2017,1324.72,1329.25,1305.25,1309.95,1284.9272,739284
26-12-2017,1343,1344.88,1315.8,1324.72,1299.4149,2175786
22-12-2017,1302,1331.95,1295.1,1323.38,1298.1007,3665664
21-12-2017,1293.5,1304,1290.03,1297.85,1273.0584,1293648
20-12-2017,1291,1296.38,1275.3199,1294.47,1269.7428,1577570
19-12-2017,1288,1298.9,1282.35,1287.65,1263.0531,1801952
18-12-2017,1268.5,1294.47,1247.1801,1290.25,1265.6034,2180664
15-12-2017,1281.88,1292.22,1268.4301,1272.8,1248.4869,2718138
14-12-2017,1316,1316,1265.55,1278.9,1254.4703,5504150
13-12-2017,1305.7,1325.72,1300.5,1314.2,1289.0959,2961458
12-12-2017,1330.5,1331,1303.7,1306.0699,1281.1212,1882246
11-12-2017,1304.1801,1336.3199,1304.1801,1330.55,1305.1338,1008002
08-12-2017,1309,1322.5,1298.5,1300.75,1275.903,1385548
07-12-2017,1316.15,1322.97,1307.5,1308.62,1283.6224,1326300
06-12-2017,1318,1322.5,1306.4301,1316.65,1291.4993,1407518
05-12-2017,1315.5,1325.85,1314.0699,1317.78,1292.6075,1167914
04-12-2017,1311,1329.25,1301.47,1316.1801,1291.0382,1259104
01-12-2017,1317.5,1334,1310.75,1314.97,1289.8512,1031144
30-11-2017,1326.8199,1333.47,1311.5,1318.5,1293.3138,4299962
29-11-2017,1338.75,1346.5,1325,1329.0699,1303.6819,1447532
28-11-2017,1343,1351.2,1335,1342.65,1317.0026,911716
27-11-2017,1344,1347.95,1331.1,1342.9301,1317.2773,1856786
24-11-2017,1341,1351.45,1336.55,1344.03,1318.3563,2287512
23-11-2017,1340.5,1346.5,1334.5,1340.62,1315.0112,793470
22-11-2017,1336.5,1354.85,1336.2,1340.3199,1314.717,1822624
21-11-2017,1350.5,1350.5,1333,1336.47,1310.9407,1527740
20-11-2017,1357.5,1363.45,1347.65,1351.72,1325.8993,1014498
17-11-2017,1374.05,1374.05,1351.8,1353.65,1327.7925,1325464
16-11-2017,1355,1381.5,1343.47,1373.3199,1347.0865,1653482
15-11-2017,1353,1377.5,1350.6801,1352.65,1326.8115,6670834
